clip_name,event_1,event_2,start_time,end_time,start_frame,end_frame,fps
WIVsIND_boundary_celebration_0:00:07.mp4,boundary,celebration,0:00:07,0:00:15,210,450,30.0
WIVsIND_catch_celebration_0:00:26.mp4,catch,celebration,0:00:26,0:00:34,780,1020,30.0
WIVsIND_catch_celebration_0:02:20.mp4,catch,celebration,0:02:20,0:02:28,4200,4440,30.0
WIVsIND_catch_celebration_0:03:02.mp4,catch,celebration,0:03:02,0:03:10,5460,5700,30.0
WIVsIND_catch_celebration_0:04:47.mp4,catch,celebration,0:04:47,0:04:55,8610,8850,30.0
WIVsIND_catch_celebration_0:05:03.mp4,catch,celebration,0:05:03,0:05:11,9090,9330,30.0
